date,open,high,low,close,volume,dividends,stock_splits,Mkt-RF,SMB,HML,RMW,CMA,RF,ads_index,SP500,BAMLH0A0HYM2,BAMLH0A0HYM2EY,CBBTCUSD,CBETHUSD,DAAA,DBAA,DCOILBRENTEU,DCOILWTICO,DEXJPUS,DEXUSEU,DEXUSUK,DHHNGSP,T10Y3M,T10YIE,USRECD,USRECDM,USRECDP,VIXCLS,close_lag1,close_lag3,close_lag5,open_lag1,open_lag3,open_lag5,high_lag1,high_lag3,high_lag5,low_lag1,low_lag3,low_lag5,close_ma5,close_ma10,close_vol5,close_vol10,close_SP500_product,close_SP500_ratio,close_VIXCLS_product,close_VIXCLS_ratio,SP500_VIXCLS_product,SP500_VIXCLS_ratio,RSI,MACD,MACD_signal,MA20,BB_upper,BB_lower
2015-01-28,26.185161759675488,26.219576665471283,25.55422435693577,25.55821418762207,35822000.0,0.0,0.0,-1.39,-0.17,-0.81,0.52,-0.22,0.0,-0.510054,2002.16,5.31,6.6,236.09,13.18,3.33,3.99,59.19,44.08,117.74,1.1342,1.5165,2.89,1.71,1.61,0.0,0.0,0.0,20.44,25.99513053894043,27.030567169189453,25.955230712890625,26.50436951444889,26.83505215497833,25.47890925862515,26.57319932206257,27.20314018221959,26.028050352029354,25.978670823502956,26.721333423133405,25.416563638075473,26.430453872680665,25.95737533569336,0.6247210243386832,0.6787497037024339,51171.63411788941,0.012765320483861862,522.4098979949952,1.2504012565366684,40924.150400000006,97.95298534589757,53.094584774998644,0.07427372594974102,0.003347668835893023,25.704102516174316,27.04190603051938,24.36629900182925
2015-01-29,25.581656204875305,25.695873430619464,25.11181892538199,25.598115921020508,79018000.0,0.0,0.0,0.98,0.21,0.03,0.02,-0.35,0.0,-0.523455,2021.25,5.28,6.6,235.03,13.18,3.35,3.99,59.19,44.12,118.31,1.1308,1.5043,2.88,1.74,1.62,0.0,0.0,0.0,18.76,25.55821418762207,26.76971435546875,26.798643112182617,26.185161759675488,27.008124334728006,26.085409012885936,26.219576665471283,27.008124334728006,26.875452587004574,25.55422435693577,26.537788564464677,26.03104495234376,26.190348434448243,26.00336151123047,0.6764014110252833,0.6309843275828732,51740.1918053627,0.01266449761008066,480.2206546783448,1.364504385713041,37918.65,107.7424798814073,57.46676501592375,0.039408720476235004,0.010559879163961419,25.6634033203125,26.959389521800272,24.36741711882473
2015-01-30,25.885902660710986,27.087926160292795,25.845003567933095,26.811111450195312,121108000.0,0.0,0.0,-1.31,-0.84,0.05,-0.16,-0.45,0.0,-0.535727,1994.99,5.37,6.61,229.07,13.18,3.29,3.99,59.19,47.79,117.44,1.129,1.5026,2.88,1.66,1.65,0.0,0.0,0.0,20.97,25.598115921020508,25.99513053894043,27.030567169189453,25.581656204875305,26.50436951444889,26.83505215497833,25.695873430619464,26.57319932206257,27.20314018221959,25.11181892538199,25.978670823502956,26.721333423133405,26.146457290649415,26.138476943969728,0.6123362051065994,0.6461751420464642,53487.89923202515,0.013439220906271762,562.2290071105957,1.278545477574656,41834.940299999995,95.13538620153258,69.38806184933202,0.10840690688585042,0.03012928470833922,25.683353900909424,27.038789979560352,24.327917822258495
2015-02-02,26.65001054975156,26.75874247437439,26.021567499516276,26.544273376464844,75378000.0,0.0,0.0,1.24,-0.38,1.0,0.05,0.13,0.0,-0.565851,2020.85,5.26,6.51,237.83,13.18,3.29,3.99,59.19,49.25,117.33,1.1337,1.5027,2.88,1.66,1.65,0.0,0.0,0.0,19.43,26.811111450195312,25.55821418762207,26.76971435546875,25.885902660710986,26.185161759675488,27.008124334728006,27.087926160292795,26.219576665471283,27.008124334728006,25.845003567933095,25.55422435693577,26.537788564464677,26.101369094848632,26.249502182006836,0.5611296763273296,0.6058077578374977,53641.994852828975,0.013135202140244365,515.755231704712,1.366148209726338,39265.1155,104.00663715561649,64.47174446781085,0.13994368059139717,0.05209216388495081,25.715125370025635,27.121642615001214,24.308608125050057
2015-02-03,26.431552048514334,26.806124288078752,26.27543874111097,26.599138259887695,47062000.0,0.0,0.0,1.49,0.24,0.49,0.05,0.39,0.0,-0.573724,2050.03,5.11,6.44,228.58,13.18,3.42,3.99,59.19,53.04,117.48,1.1462,1.5129,2.67,1.77,1.7,0.0,0.0,0.0,17.33,26.544273376464844,25.598115921020508,25.99513053894043,26.65001054975156,25.581656204875305,26.50436951444889,26.75874247437439,25.695873430619464,26.57319932206257,26.021567499516276,25.11181892538199,25.978670823502956,26.222170639038087,26.36601390838623,0.5964454082584376,0.540011661771556,54529.03140691758,0.012974999453733699,460.9630660438537,1.5348599487183041,35527.0199,118.29364206945066,63.41628992276957,0.1674338651569265,0.07516050413934595,25.781610774993897,27.224656494089984,24.33856505589781
2015-02-04,26.59115631217857,26.771210504324195,26.186657493614756,26.240026473999023,33896000.0,0.0,0.0,-0.35,-0.09,-0.23,0.33,-0.07,0.0,-0.580524,2041.51,5.05,6.4,227.11,13.18,3.43,3.99,59.19,48.45,117.58,1.1418,1.5209,2.73,1.8,1.71,0.0,0.0,0.0,18.33,26.599138259887695,26.811111450195312,25.55821418762207,26.431552048514334,25.885902660710986,26.185161759675488,26.806124288078752,27.087926160292795,26.219576665471283,26.27543874111097,25.845003567933095,25.55422435693577,26.358533096313476,26.39449348449707,0.4715653620720534,0.5231881423871717,53569.27644693375,0.012853244091611886,480.9796852684021,1.4315336693214584,37420.8783,111.37528020988533,60.29487811245208,0.15841658678088777,0.09181172066765432,25.83385639190674,27.263091303589142,24.404621480224336
2015-02-05,26.331298882287577,26.468958502057156,26.217081657685803,26.42606544494629,33176000.0,0.0,0.0,1.1,0.42,-0.08,-0.54,-0.2,0.0,-0.586255,2062.52,4.99,6.35,216.76,13.18,3.46,3.99,59.19,50.48,117.4,1.1432,1.5293,2.66,1.81,1.7,0.0,0.0,0.0,16.85,26.240026473999023,26.544273376464844,25.598115921020508,26.59115631217857,26.65001054975156,25.581656204875305,26.771210504324195,26.75874247437439,25.695873430619464,26.186657493614756,26.021567499516276,25.11181892538199,26.524123001098634,26.357235717773438,0.21137751631981144,0.5041286152391812,54504.28850151062,0.012812513486812808,445.279202747345,1.5683115585656202,34753.462,122.40467513075659,59.26192741827787,0.16438716594324632,0.10632680972277272,25.891014862060548,27.31890963163524,24.463120092485855
2015-02-06,26.48492018344799,26.944281544739813,26.367211617224175,26.62806510925293,42938000.0,0.0,0.0,-0.2,0.09,0.34,-0.18,-0.12,0.0,-0.590918,2055.47,4.78,6.29,223.2,13.18,3.52,3.99,59.19,51.66,119.16,1.133,1.5247,2.66,1.93,1.71,0.0,0.0,0.0,17.29,26.42606544494629,26.599138259887695,26.811111450195312,26.331298882287577,26.431552048514334,25.885902660710986,26.468958502057156,26.806124288078752,27.087926160292795,26.217081657685803,26.27543874111097,25.845003567933095,26.487513732910156,26.316985511779784,0.15847887632764504,0.45838890224648104,54733.18899011611,0.012954732970904756,460.39924573898315,1.5400838466405127,35539.07629999999,118.881943966487,61.07355469646268,0.18330554544883526,0.12172255686798523,25.973710155487062,27.36923270255707,24.578187608417053
2015-02-09,26.487411008448664,26.62806347058629,26.31234554553074,26.398632049560547,30314000.0,0.0,0.0,-0.46,-0.35,0.12,-0.03,-0.03,0.0,-0.599861,2046.74,4.8,6.31,221.1,13.18,3.52,3.99,59.19,52.99,118.7,1.1316,1.5217,2.62,1.95,1.71,0.0,0.0,0.0,18.55,26.62806510925293,26.240026473999023,26.544273376464844,26.48492018344799,26.59115631217857,26.65001054975156,26.944281544739813,26.771210504324195,26.75874247437439,26.367211617224175,26.186657493614756,26.021567499516276,26.458385467529297,26.279877281188966,0.15882241202551373,0.43192283451412267,54031.13616111755,0.01289789221912975,489.69462451934817,1.4231060818598236,37967.027,110.33632865966109,58.58036307733079,0.17773633322904914,0.13292531214019804,26.054061126708984,27.344073250299544,24.764049003118423
2015-02-10,26.541777908615025,26.983184069138904,26.39314578038076,26.941287994384766,47430000.0,0.0,0.0,1.05,-0.36,-0.72,0.1,-0.38,0.0,-0.602956,2068.59,4.75,6.3,220.87,13.18,3.64,3.99,59.19,50.06,119.32,1.1316,1.5252,2.67,2.0,1.7,0.0,0.0,0.0,17.23,26.398632049560547,26.42606544494629,26.599138259887695,26.487411008448664,26.331298882287577,26.431552048514334,26.62806347058629,26.468958502057156,26.806124288078752,26.31234554553074,26.217081657685803,26.27543874111097,26.52681541442871,26.374493026733397,0.26966110582072983,0.4649824424441764,55730.47893230439,0.01302398632118733,464.1983921432495,1.5636257897926213,35641.805700000004,120.05738824295518,58.73781559096551,0.21463629836215503,0.14926750938458944,26.149724197387695,27.402596244352768,24.89685215042262
